Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org
OpenGL API 4.1 Metal - 90.5 - Compatibility - Using Device: Apple - Apple M4

레벨업 · 룬 55 button=[P: (236.0, 472.0), S: (180.0, 34.0)] chip=[P: (354.0, 475.0), S: (55.0, 28.0)] label=[P: (300.0, 475.0), S: (52.0, 28.0)] min=(55.0, 28.0)
레벨업 · 룬 60 button=[P: (24.0, 662.0), S: (180.0, 34.0)] chip=[P: (142.0, 665.0), S: (55.0, 28.0)] label=[P: (88.0, 665.0), S: (52.0, 28.0)] min=(55.0, 28.0)
레벨업 · 룬 4 button=[P: (24.0, 282.0), S: (180.0, 34.0)] chip=[P: (149.0, 285.0), S: (48.0, 28.0)] label=[P: (81.0, 285.0), S: (66.0, 28.0)] min=(48.0, 28.0)
레벨업 · 룬 7 button=[P: (236.0, 282.0), S: (180.0, 34.0)] chip=[P: (361.0, 285.0), S: (48.0, 28.0)] label=[P: (293.0, 285.0), S: (66.0, 28.0)] min=(48.0, 28.0)
레벨업 · 룬 7 button=[P: (24.0, 472.0), S: (180.0, 34.0)] chip=[P: (149.0, 475.0), S: (48.0, 28.0)] label=[P: (81.0, 475.0), S: (66.0, 28.0)] min=(48.0, 28.0)
레벨업 · 룬 30 button=[P: (236.0, 472.0), S: (180.0, 34.0)] chip=[P: (354.0, 475.0), S: (55.0, 28.0)] label=[P: (300.0, 475.0), S: (52.0, 28.0)] min=(55.0, 28.0)
레벨업 · 룬 70 button=[P: (24.0, 662.0), S: (180.0, 34.0)] chip=[P: (142.0, 665.0), S: (55.0, 28.0)] label=[P: (88.0, 665.0), S: (52.0, 28.0)] min=(55.0, 28.0)
레벨업 · 룬 70 button=[P: (236.0, 662.0), S: (180.0, 34.0)] chip=[P: (354.0, 665.0), S: (55.0, 28.0)] label=[P: (300.0, 665.0), S: (52.0, 28.0)] min=(55.0, 28.0)
레벨업 · 룬 14 button=[P: (24.0, 282.0), S: (180.0, 34.0)] chip=[P: (142.0, 285.0), S: (55.0, 28.0)] label=[P: (88.0, 285.0), S: (52.0, 28.0)] min=(55.0, 28.0)
레벨업 · 룬 65620 button=[P: (236.0, 282.0), S: (180.0, 34.0)] chip=[P: (334.0, 285.0), S: (75.0, 28.0)] label=[P: (243.0, 285.0), S: (89.0, 28.0)] min=(75.0, 28.0)
레벨업 · 룬 55 button=[P: (24.0, 472.0), S: (180.0, 34.0)] chip=[P: (142.0, 475.0), S: (55.0, 28.0)] label=[P: (88.0, 475.0), S: (52.0, 28.0)] min=(55.0, 28.0)
레벨업 · 룬 55 button=[P: (236.0, 472.0), S: (180.0, 34.0)] chip=[P: (354.0, 475.0), S: (55.0, 28.0)] label=[P: (300.0, 475.0), S: (52.0, 28.0)] min=(55.0, 28.0)
레벨업 · 룬 60 button=[P: (24.0, 662.0), S: (180.0, 34.0)] chip=[P: (142.0, 665.0), S: (55.0, 28.0)] label=[P: (88.0, 665.0), S: (52.0, 28.0)] min=(55.0, 28.0)
레벨업 · 룬 14 button=[P: (24.0, 273.0), S: (180.0, 34.0)] chip=[P: (142.0, 276.0), S: (55.0, 28.0)] label=[P: (88.0, 276.0), S: (52.0, 28.0)] min=(55.0, 28.0)
레벨업 · 룬 65620 button=[P: (236.0, 273.0), S: (180.0, 34.0)] chip=[P: (334.0, 276.0), S: (75.0, 28.0)] label=[P: (243.0, 276.0), S: (89.0, 28.0)] min=(75.0, 28.0)
레벨업 · 룬 55 button=[P: (24.0, 463.0), S: (180.0, 34.0)] chip=[P: (142.0, 466.0), S: (55.0, 28.0)] label=[P: (88.0, 466.0), S: (52.0, 28.0)] min=(55.0, 28.0)
레벨업 · 룬 55 button=[P: (236.0, 463.0), S: (180.0, 34.0)] chip=[P: (354.0, 466.0), S: (55.0, 28.0)] label=[P: (300.0, 466.0), S: (52.0, 28.0)] min=(55.0, 28.0)
레벨업 · 룬 60 button=[P: (24.0, 653.0), S: (180.0, 34.0)] chip=[P: (142.0, 656.0), S: (55.0, 28.0)] label=[P: (88.0, 656.0), S: (52.0, 28.0)] min=(55.0, 28.0)
레벨업 · 룬 14 button=[P: (24.0, 273.0), S: (180.0, 34.0)] chip=[P: (142.0, 276.0), S: (55.0, 28.0)] label=[P: (88.0, 276.0), S: (52.0, 28.0)] min=(55.0, 28.0)
레벨업 · 룬 55 button=[P: (24.0, 463.0), S: (180.0, 34.0)] chip=[P: (142.0, 466.0), S: (55.0, 28.0)] label=[P: (88.0, 466.0), S: (52.0, 28.0)] min=(55.0, 28.0)
레벨업 · 룬 55 button=[P: (236.0, 463.0), S: (180.0, 34.0)] chip=[P: (354.0, 466.0), S: (55.0, 28.0)] label=[P: (300.0, 466.0), S: (52.0, 28.0)] min=(55.0, 28.0)
레벨업 · 룬 60 button=[P: (24.0, 653.0), S: (180.0, 34.0)] chip=[P: (142.0, 656.0), S: (55.0, 28.0)] label=[P: (88.0, 656.0), S: (52.0, 28.0)] min=(55.0, 28.0)
PASS cost layout: 320/440, combat/economy, 65620, insufficient/maximum, rune-box purchase input
