Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org
OpenGL API 4.1 Metal - 90.5 - Compatibility - Using Device: Apple - Apple M4

레벨업 · 룬 14 button=[P: (24.0, 284.0), S: (120.0, 34.0)] chip=[P: (92.0, 287.0), S: (45.0, 28.0)] label=[P: (31.0, 287.0), S: (59.0, 28.0)] min=(45.0, 28.0)
레벨업 · 룬 65620 button=[P: (176.0, 284.0), S: (120.0, 34.0)] chip=[P: (224.0, 287.0), S: (65.0, 28.0)] label=[P: (183.0, 287.0), S: (39.0, 28.0)] min=(65.0, 28.0)
레벨업 · 룬 55 button=[P: (24.0, 474.0), S: (120.0, 34.0)] chip=[P: (92.0, 477.0), S: (45.0, 28.0)] label=[P: (31.0, 477.0), S: (59.0, 28.0)] min=(45.0, 28.0)
레벨업 · 룬 55 button=[P: (176.0, 474.0), S: (120.0, 34.0)] chip=[P: (244.0, 477.0), S: (45.0, 28.0)] label=[P: (183.0, 477.0), S: (59.0, 28.0)] min=(45.0, 28.0)
레벨업 · 룬 60 button=[P: (24.0, 664.0), S: (120.0, 34.0)] chip=[P: (92.0, 667.0), S: (45.0, 28.0)] label=[P: (31.0, 667.0), S: (59.0, 28.0)] min=(45.0, 28.0)
레벨업 · 룬 14 button=[P: (24.0, 274.0), S: (120.0, 34.0)] chip=[P: (92.0, 277.0), S: (45.0, 28.0)] label=[P: (31.0, 277.0), S: (59.0, 28.0)] min=(45.0, 28.0)
레벨업 · 룬 65620 button=[P: (176.0, 274.0), S: (120.0, 34.0)] chip=[P: (224.0, 277.0), S: (65.0, 28.0)] label=[P: (183.0, 277.0), S: (39.0, 28.0)] min=(65.0, 28.0)
레벨업 · 룬 55 button=[P: (24.0, 464.0), S: (120.0, 34.0)] chip=[P: (92.0, 467.0), S: (45.0, 28.0)] label=[P: (31.0, 467.0), S: (59.0, 28.0)] min=(45.0, 28.0)
레벨업 · 룬 55 button=[P: (176.0, 464.0), S: (120.0, 34.0)] chip=[P: (244.0, 467.0), S: (45.0, 28.0)] label=[P: (183.0, 467.0), S: (59.0, 28.0)] min=(45.0, 28.0)
레벨업 · 룬 60 button=[P: (24.0, 654.0), S: (120.0, 34.0)] chip=[P: (92.0, 657.0), S: (45.0, 28.0)] label=[P: (31.0, 657.0), S: (59.0, 28.0)] min=(45.0, 28.0)
레벨업 · 룬 14 button=[P: (24.0, 273.0), S: (120.0, 34.0)] chip=[P: (92.0, 276.0), S: (45.0, 28.0)] label=[P: (31.0, 276.0), S: (59.0, 28.0)] min=(45.0, 28.0)
레벨업 · 룬 55 button=[P: (24.0, 463.0), S: (120.0, 34.0)] chip=[P: (92.0, 466.0), S: (45.0, 28.0)] label=[P: (31.0, 466.0), S: (59.0, 28.0)] min=(45.0, 28.0)
레벨업 · 룬 55 button=[P: (176.0, 463.0), S: (120.0, 34.0)] chip=[P: (244.0, 466.0), S: (45.0, 28.0)] label=[P: (183.0, 466.0), S: (59.0, 28.0)] min=(45.0, 28.0)
레벨업 · 룬 60 button=[P: (24.0, 653.0), S: (120.0, 34.0)] chip=[P: (92.0, 656.0), S: (45.0, 28.0)] label=[P: (31.0, 656.0), S: (59.0, 28.0)] min=(45.0, 28.0)
레벨업 · 룬 14 button=[P: (24.0, 282.0), S: (180.0, 34.0)] chip=[P: (152.0, 285.0), S: (45.0, 28.0)] label=[P: (78.0, 285.0), S: (72.0, 28.0)] min=(45.0, 28.0)
레벨업 · 룬 7 button=[P: (236.0, 282.0), S: (180.0, 34.0)] chip=[P: (371.0, 285.0), S: (38.0, 28.0)] label=[P: (283.0, 285.0), S: (86.0, 28.0)] min=(38.0, 28.0)
레벨업 · 룬 55 button=[P: (24.0, 472.0), S: (180.0, 34.0)] chip=[P: (152.0, 475.0), S: (45.0, 28.0)] label=[P: (78.0, 475.0), S: (72.0, 28.0)] min=(45.0, 28.0)
레벨업 · 룬 55 button=[P: (236.0, 472.0), S: (180.0, 34.0)] chip=[P: (364.0, 475.0), S: (45.0, 28.0)] label=[P: (290.0, 475.0), S: (72.0, 28.0)] min=(45.0, 28.0)
레벨업 · 룬 60 button=[P: (24.0, 662.0), S: (180.0, 34.0)] chip=[P: (152.0, 665.0), S: (45.0, 28.0)] label=[P: (78.0, 665.0), S: (72.0, 28.0)] min=(45.0, 28.0)
레벨업 · 룬 4 button=[P: (24.0, 282.0), S: (180.0, 34.0)] chip=[P: (159.0, 285.0), S: (38.0, 28.0)] label=[P: (71.0, 285.0), S: (86.0, 28.0)] min=(38.0, 28.0)
레벨업 · 룬 7 button=[P: (236.0, 282.0), S: (180.0, 34.0)] chip=[P: (371.0, 285.0), S: (38.0, 28.0)] label=[P: (283.0, 285.0), S: (86.0, 28.0)] min=(38.0, 28.0)
레벨업 · 룬 7 button=[P: (24.0, 472.0), S: (180.0, 34.0)] chip=[P: (159.0, 475.0), S: (38.0, 28.0)] label=[P: (71.0, 475.0), S: (86.0, 28.0)] min=(38.0, 28.0)
레벨업 · 룬 30 button=[P: (236.0, 472.0), S: (180.0, 34.0)] chip=[P: (364.0, 475.0), S: (45.0, 28.0)] label=[P: (290.0, 475.0), S: (72.0, 28.0)] min=(45.0, 28.0)
레벨업 · 룬 70 button=[P: (24.0, 662.0), S: (180.0, 34.0)] chip=[P: (152.0, 665.0), S: (45.0, 28.0)] label=[P: (78.0, 665.0), S: (72.0, 28.0)] min=(45.0, 28.0)
