Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org
OpenGL API 4.1 Metal - 90.5 - Compatibility - Using Device: Apple - Apple M4

battle-confirm-wide frame=8 rect=[P: (78.0, 302.0), S: (284.0, 295.0)] body=(252.0, 255.0) min=(121.0, 255.0) scrollmin=(0.0, 263.0)
battle-confirm-wide frame=9 rect=[P: (78.0, 302.0), S: (284.0, 295.0)] body=(252.0, 255.0) min=(121.0, 255.0) scrollmin=(0.0, 263.0)
battle-portal frame=0 rect=[P: (12.0, 591.0), S: (416.0, 309.0)] body=(384.0, 162.0) min=(98.0, 162.0) scrollmin=(0.0, 170.0)
battle-portal frame=1 rect=[P: (12.0, 698.0), S: (416.0, 202.0)] body=(384.0, 162.0) min=(98.0, 162.0) scrollmin=(0.0, 170.0)
battle-portal frame=2 rect=[P: (12.0, 698.0), S: (416.0, 202.0)] body=(384.0, 162.0) min=(98.0, 162.0) scrollmin=(0.0, 170.0)
battle-portal frame=3 rect=[P: (12.0, 698.0), S: (416.0, 202.0)] body=(384.0, 162.0) min=(98.0, 162.0) scrollmin=(0.0, 170.0)
battle-portal frame=4 rect=[P: (12.0, 698.0), S: (416.0, 202.0)] body=(384.0, 162.0) min=(98.0, 162.0) scrollmin=(0.0, 170.0)
battle-portal frame=5 rect=[P: (12.0, 698.0), S: (416.0, 202.0)] body=(384.0, 162.0) min=(98.0, 162.0) scrollmin=(0.0, 170.0)
battle-portal frame=6 rect=[P: (12.0, 698.0), S: (416.0, 202.0)] body=(384.0, 162.0) min=(98.0, 162.0) scrollmin=(0.0, 170.0)
battle-portal frame=7 rect=[P: (12.0, 698.0), S: (416.0, 202.0)] body=(384.0, 162.0) min=(98.0, 162.0) scrollmin=(0.0, 170.0)
battle-portal frame=8 rect=[P: (12.0, 698.0), S: (416.0, 202.0)] body=(384.0, 162.0) min=(98.0, 162.0) scrollmin=(0.0, 170.0)
battle-portal frame=9 rect=[P: (12.0, 698.0), S: (416.0, 202.0)] body=(384.0, 162.0) min=(98.0, 162.0) scrollmin=(0.0, 170.0)
