Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org
OpenGL API 4.1 Metal - 90.5 - Compatibility - Using Device: Apple - Apple M4

레벨업 · 룬 55 button=[P: (236.0, 472.0), S: (180.0, 34.0)] chip=[P: (362.0, 475.0), S: (47.0, 28.0)] label=[P: (292.0, 475.0), S: (68.0, 28.0)] min=(47.0, 28.0)
레벨업 · 룬 60 button=[P: (24.0, 662.0), S: (180.0, 34.0)] chip=[P: (150.0, 665.0), S: (47.0, 28.0)] label=[P: (80.0, 665.0), S: (68.0, 28.0)] min=(47.0, 28.0)
레벨업 · 룬 4 button=[P: (24.0, 282.0), S: (180.0, 34.0)] chip=[P: (157.0, 285.0), S: (40.0, 28.0)] label=[P: (73.0, 285.0), S: (82.0, 28.0)] min=(40.0, 28.0)
레벨업 · 룬 7 button=[P: (236.0, 282.0), S: (180.0, 34.0)] chip=[P: (369.0, 285.0), S: (40.0, 28.0)] label=[P: (285.0, 285.0), S: (82.0, 28.0)] min=(40.0, 28.0)
레벨업 · 룬 7 button=[P: (24.0, 472.0), S: (180.0, 34.0)] chip=[P: (157.0, 475.0), S: (40.0, 28.0)] label=[P: (73.0, 475.0), S: (82.0, 28.0)] min=(40.0, 28.0)
레벨업 · 룬 30 button=[P: (236.0, 472.0), S: (180.0, 34.0)] chip=[P: (362.0, 475.0), S: (47.0, 28.0)] label=[P: (292.0, 475.0), S: (68.0, 28.0)] min=(47.0, 28.0)
레벨업 · 룬 70 button=[P: (24.0, 662.0), S: (180.0, 34.0)] chip=[P: (150.0, 665.0), S: (47.0, 28.0)] label=[P: (80.0, 665.0), S: (68.0, 28.0)] min=(47.0, 28.0)
레벨업 · 룬 70 button=[P: (236.0, 662.0), S: (180.0, 34.0)] chip=[P: (362.0, 665.0), S: (47.0, 28.0)] label=[P: (292.0, 665.0), S: (68.0, 28.0)] min=(47.0, 28.0)
레벨업 · 룬 14 button=[P: (24.0, 282.0), S: (180.0, 34.0)] chip=[P: (150.0, 285.0), S: (47.0, 28.0)] label=[P: (80.0, 285.0), S: (68.0, 28.0)] min=(47.0, 28.0)
레벨업 · 룬 65620 button=[P: (236.0, 282.0), S: (180.0, 34.0)] chip=[P: (342.0, 285.0), S: (67.0, 28.0)] label=[P: (312.0, 285.0), S: (28.0, 28.0)] min=(67.0, 28.0)
레벨업 · 룬 55 button=[P: (24.0, 472.0), S: (180.0, 34.0)] chip=[P: (150.0, 475.0), S: (47.0, 28.0)] label=[P: (80.0, 475.0), S: (68.0, 28.0)] min=(47.0, 28.0)
레벨업 · 룬 55 button=[P: (236.0, 472.0), S: (180.0, 34.0)] chip=[P: (362.0, 475.0), S: (47.0, 28.0)] label=[P: (292.0, 475.0), S: (68.0, 28.0)] min=(47.0, 28.0)
레벨업 · 룬 60 button=[P: (24.0, 662.0), S: (180.0, 34.0)] chip=[P: (150.0, 665.0), S: (47.0, 28.0)] label=[P: (80.0, 665.0), S: (68.0, 28.0)] min=(47.0, 28.0)
레벨업 · 룬 14 button=[P: (24.0, 273.0), S: (180.0, 34.0)] chip=[P: (150.0, 276.0), S: (47.0, 28.0)] label=[P: (80.0, 276.0), S: (68.0, 28.0)] min=(47.0, 28.0)
레벨업 · 룬 65620 button=[P: (236.0, 273.0), S: (180.0, 34.0)] chip=[P: (342.0, 276.0), S: (67.0, 28.0)] label=[P: (312.0, 276.0), S: (28.0, 28.0)] min=(67.0, 28.0)
레벨업 · 룬 55 button=[P: (24.0, 463.0), S: (180.0, 34.0)] chip=[P: (150.0, 466.0), S: (47.0, 28.0)] label=[P: (80.0, 466.0), S: (68.0, 28.0)] min=(47.0, 28.0)
레벨업 · 룬 55 button=[P: (236.0, 463.0), S: (180.0, 34.0)] chip=[P: (362.0, 466.0), S: (47.0, 28.0)] label=[P: (292.0, 466.0), S: (68.0, 28.0)] min=(47.0, 28.0)
레벨업 · 룬 60 button=[P: (24.0, 653.0), S: (180.0, 34.0)] chip=[P: (150.0, 656.0), S: (47.0, 28.0)] label=[P: (80.0, 656.0), S: (68.0, 28.0)] min=(47.0, 28.0)
레벨업 · 룬 14 button=[P: (24.0, 273.0), S: (180.0, 34.0)] chip=[P: (150.0, 276.0), S: (47.0, 28.0)] label=[P: (80.0, 276.0), S: (68.0, 28.0)] min=(47.0, 28.0)
레벨업 · 룬 55 button=[P: (24.0, 463.0), S: (180.0, 34.0)] chip=[P: (150.0, 466.0), S: (47.0, 28.0)] label=[P: (80.0, 466.0), S: (68.0, 28.0)] min=(47.0, 28.0)
레벨업 · 룬 55 button=[P: (236.0, 463.0), S: (180.0, 34.0)] chip=[P: (362.0, 466.0), S: (47.0, 28.0)] label=[P: (292.0, 466.0), S: (68.0, 28.0)] min=(47.0, 28.0)
레벨업 · 룬 60 button=[P: (24.0, 653.0), S: (180.0, 34.0)] chip=[P: (150.0, 656.0), S: (47.0, 28.0)] label=[P: (80.0, 656.0), S: (68.0, 28.0)] min=(47.0, 28.0)
PASS cost layout: 320/440, combat/economy, 65620, insufficient/maximum, rune-box purchase input
